Alpha	Beta	Delta	Sigma	Theta	Artef	R	REM
3	1	1	24	0	0	0	0
4	2	2	8	0	0	0	0
3	4	5	22	0	0	0	0
3	3	2	33	0	0	0	0
5	4	7	4	0	0	0	0
3	6	2	31	0	0	0	0
2	4	5	18	0	0	0	0
0	9	4	14	0	0	0	0
3	5	3	14	0	0	0	0
1	11	5	18	0	0	0	0
2	10	5	18	0	0	0	0
3	6	5	12	0	0	0	0
1	9	4	16	0	0	0	0
1	8	5	5	0	0	0	0
1	7	5	13	0	0	0	0
0	6	7	13	9	0	0	1
4	7	2	2	0	0	1	0
1	6	2	10	0	0	0	0
0	9	5	3	0	0	0	0
1	10	8	23	0	0	0	0
1	11	4	10	0	0	0	1
0	13	5	16	0	0	0	1
0	12	5	25	0	0	0	1
0	13	3	19	0	0	1	0
0	16	4	6	0	0	0	1
0	26	4	6	0	0	1	0
0	11	1	13	17	0	0	0
2	0	1	4	3	0	1	0
2	4	0	4	0	0	0	0
6	9	2	14	0	0	0	0
0	3	2	17	0	0	0	0
1	10	4	23	0	0	0	1
5	5	1	15	0	0	0	1
0	6	2	14	0	0	0	0
1	4	0	21	0	0	0	0
3	8	2	15	0	0	0	0
3	1	0	6	13	0	0	0
2	4	1	13	0	0	1	0
2	8	0	0	0	0	0	0
0	6	1	3	0	0	0	1
2	3	2	11	0	0	1	1
1	4	2	24	0	0	0	0
2	10	3	13	0	0	0	0
2	6	1	5	0	0	0	0
3	2	1	11	13	0	0	0
8	1	0	3	0	0	0	0
1	7	1	14	0	0	0	2
6	3	1	12	2	0	0	0
4	1	0	14	0	0	1	0
4	4	0	20	0	0	0	0
4	1	0	17	0	0	0	0
2	0	0	10	0	0	0	0
6	0	0	9	0	0	0	0
3	0	0	23	0	0	0	0
5	0	0	11	0	0	2	0
2	0	0	28	0	0	1	0
1	0	0	30	0	2	0	0
3	0	0	26	0	1	0	0
7	0	0	16	0	1	0	0
2	10	0	1	16	3	0	0
3	0	0	7	0	0	0	0
9	1	0	4	0	1	0	0
7	1	0	7	0	0	0	0
4	1	0	15	0	0	0	0
6	1	0	13	0	0	0	0
3	1	0	9	7	2	0	0
4	0	0	14	0	0	1	0
3	0	0	18	0	0	0	0
6	0	0	2	0	0	0	0
3	0	0	14	0	0	3	0
3	0	0	28	0	0	2	0
5	2	0	12	1	0	2	0
1	0	0	6	0	0	1	0
3	0	0	19	0	1	1	0
3	1	0	2	2	3	0	0
3	0	0	3	0	0	0	0
0	0	0	0	0	0	0	0
